Features Used,Validation Accuracy,Sim Test Accuracy,Real Test Accuracy,Real Test Completeness,Real Test Purity,F1 Score,Metric Value
"(0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13)",0.9999444484710693,1.0,0.5,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.3333333333333333
"(0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12)",1.0,1.0,0.953125,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.8799999999999999
"(0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 13)",1.0,0.9998999834060669,0.921875,0.6666666666666666,0.8888888888888888,0.761904761904762,0.761904761904762
"(0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 13)",0.9997222423553467,0.9998000264167786,0.890625,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.7586206896551724
"(0, 1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 13)",0.9999444484710693,1.0,0.90625,0.5,1.0,0.6666666666666666,0.6666666666666666
"(0, 1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 13)",0.9999444484710693,0.9998999834060669,0.390625,0.9166666666666666,0.22448979591836735,0.36065573770491804,0.36065573770491804
"(0, 1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13)",0.999833345413208,0.9997000098228455,0.9375,0.75,0.9,0.8181818181818182,0.8181818181818182
"(0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12)",0.5009999871253967,0.5,0.8125,0.0,0,0,0
"(0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13)",0.999833345413208,0.9998999834060669,0.9375,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.8461538461538461
"(0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 12, 13)",0.7515555620193481,0.7501000165939331,0.9375,0.75,0.9,0.8181818181818182,0.8181818181818182
"(0, 1, 2, 3, 4, 5, 7, 8, 9, 11, 12, 13)",0.9999444484710693,1.0,0.828125,0.8333333333333334,0.5263157894736842,0.6451612903225806,0.6451612903225806
"(0, 1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 13)",0.7534444332122803,0.7501000165939331,0.921875,0.9166666666666666,0.7333333333333333,0.8148148148148148,0.8148148148148148
"(0, 1, 2, 3, 4, 5, 7, 9, 10, 11, 12, 13)",0.9999444484710693,1.0,0.953125,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.8695652173913043
"(0, 1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 13)",0.9999444484710693,1.0,0.9375,0.75,0.9,0.8181818181818182,0.8181818181818182
"(0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12)",1.0,1.0,0.9375,0.6666666666666666,1.0,0.8,0.8
"(0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 13)",0.9998888969421387,1.0,0.9375,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.8461538461538461
"(0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 12, 13)",1.0,1.0,0.921875,0.9166666666666666,0.7333333333333333,0.8148148148148148,0.8148148148148148
"(0, 1, 2, 3, 4, 6, 7, 8, 9, 11, 12, 13)",0.9998888969421387,0.9998999834060669,0.3125,1.0,0.21428571428571427,0.35294117647058826,0.35294117647058826
"(0, 1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 13)",0.9999444484710693,1.0,0.53125,0.8333333333333334,0.2631578947368421,0.39999999999999997,0.39999999999999997
"(0, 1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 13)",1.0,1.0,0.9375,0.75,0.9,0.8181818181818182,0.8181818181818182
"(0, 1, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13)",0.9999444484710693,0.9998000264167786,0.875,0.9166666666666666,0.6111111111111112,0.7333333333333334,0.7333333333333334
"(0, 1, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13)",0.9999444484710693,1.0,0.90625,0.9166666666666666,0.6875,0.7857142857142857,0.7857142857142857
"(0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12)",0.9999444484710693,1.0,0.96875,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666
"(0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 13)",1.0,1.0,0.96875,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666
"(0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 12, 13)",0.9995555281639099,1.0,0.953125,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.8799999999999999
"(0, 1, 2, 3, 5, 6, 7, 8, 9, 11, 12, 13)",1.0,1.0,0.9375,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
"(0, 1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13)",0.7480000257492065,0.7498999834060669,0.546875,0.0,0.0,0,0
