,SRCID,OBSID,SRC_NUM,EP_ONTIME,INST,FEAT_VALS
44,208627305010008,0862730501,8,57644.58,PNU,"[[ 5.71627140e-01  2.46376812e-01  2.17391304e-02  1.44927536e-02
   1.44927536e-02  7.24637681e-03  0.00000000e+00  1.26562220e+00
   1.91628362e+00  6.62196684e+00 -3.63469467e+01  1.13166101e-01
   3.08823529e-01  1.49338542e+00]]"
45,208405801010012,0840580101,12,89817.38,PNS,"[[ 5.77196479e-01  2.45954693e-01  4.85436893e-02  6.47249191e-03
   0.00000000e+00  0.00000000e+00  0.00000000e+00  1.21709259e+00
   8.14849140e-01  9.11797771e-01 -4.26232185e+01  1.72979519e-01
   3.48534202e-01  1.75807877e+00]]"
46,201099301015008,0723801501,12,118036.6,PNS,"[[6.71063423e-01 2.10909091e-01 3.63636364e-02 3.63636364e-03
  3.63636364e-03 0.00000000e+00 0.00000000e+00 1.70068386e+00
  8.72725507e-01 1.38437695e+00 1.07144470e+01 1.32328406e-01
  2.23443223e-01 2.17382032e+00]]"
47,200911404010006,0841481301,4,92314.44,PNS,"[[0.58379596 0.31216931 0.04761905 0.00529101 0.00529101 0.
  0.         1.10387994 0.86282785 1.72735931 5.06253433 0.16072689
  0.21390374 1.93497181]]"
48,201506103010001,0790590101,2,53345.07,PNS,"[[ 0.27367088  0.4         0.025       0.          0.          0.
   0.          1.35358413  0.08685999 -0.73289744  8.04018307  0.22664762
   0.18421053  2.19342639]]"
49,204016703010003,0740970101,7,56556.69,PNS,"[[5.51642656e-01 2.87292818e-01 3.31491713e-02 1.65745856e-02
  0.00000000e+00 0.00000000e+00 0.00000000e+00 1.51241239e+00
  6.07859551e-01 6.84228228e-01 2.43140488e+01 1.49265781e-01
  2.51396648e-01 1.98089567e+00]]"
50,206569901015008,0790380501,32,77654.91,PNS,"[[0.95258385 0.28       0.04       0.04       0.         0.
  0.         1.29754123 1.27324225 1.25359954 8.25623894 0.22250894
  0.60869565 1.03928824]]"
51,206569901015008,0790380501,32,77654.91,PNX,"[[1.13213074 0.10948905 0.05839416 0.02189781 0.01459854 0.
  0.         0.75241364 2.23348541 5.835829   1.36808467 0.15022053
  0.37777778 1.7274619 ]]"
52,206569901015008,0790380501,32,77654.91,PNU,"[[1.06950665e+00 1.65137615e-01 5.50458716e-02 9.17431193e-03
  9.17431193e-03 0.00000000e+00 0.00000000e+00 8.42176672e-01
  1.77196274e+00 3.40341487e+00 1.69164505e+01 1.67522699e-01
  5.79439252e-01 1.22629775e+00]]"
53,207611001010127,0790380601,104,96260.79,PNS,"[[ 1.44831598e+00  1.47492625e-01  5.60471976e-02  2.06489676e-02
   1.17994100e-02  0.00000000e+00  0.00000000e+00  8.71547437e-01
   2.02304837e+00  4.23212464e+00 -4.93222122e+01  1.83813915e-01
   4.77744807e-01  1.31191380e+00]]"
