SRCID,OBSID,SRC_NUM,EP_ONTIME,INST,PN_RATE,CONF_DT50,CONF_DT250,CONF_DT1000
204025611010007,402561101,7,50755.23,PNS,0.01795059,0.9995497,0.9999038,0.99999845
201080604010004,555780101,14,101500.4,PNX,0.0133647565,0.9998727,0.9999052,0.99992716
208019505010040,801950401,15,101233.1,PNX,0.0113904765,0.9999893,0.99999297,0.99977106
207216201010002,761920901,6,51573.6,PNS,0.03495547,0.9992687,0.9999809,0.99999034
201490102010011,149010201,11,54841.16,PNS,0.027930347,0.99979216,0.99995744,0.99999976
208218001010119,821800101,119,108373.2,PNU,0.013326737,0.999153,0.9999559,0.99947816
207903805010076,790380601,74,84686.87,PNX,0.013393478,0.99996734,0.9999863,0.99924964
201092707010082,763120201,63,68949.05,PNS,0.012576344,0.999889,0.9999418,0.9997987
207412802015053,741280201,47,86239.4,PNX,0.010550739,0.9999932,0.9999497,0.999918
201092707010019,763120201,18,68946.38,PNX,0.016517533,0.99998474,0.9999882,0.99987674
201090701010015,506440101,18,85035.57,PNX,0.010961541,0.9999542,0.99999535,0.9999844
201068601010015,693850501,13,110349.2,PNX,0.0099581955,0.99997866,0.99999976,0.9999994
201080604010058,604960301,89,99400.6,PNS,0.0040153493,0.9999999,0.99999964,0.99999666
201428001010001,142800101,1,87985.41,PNS,47.063164,0.99993336,0.9999989,1.0
205021401010061,502140101,61,77982.79,PNS,0.011218739,0.9995115,0.99993134,0.9999865
207823301010034,782330101,29,52087.15,PNU,0.016607203,0.99998045,0.99999094,0.99949086
207413002010015,741300201,17,103474.8,PNS,0.011019657,0.99967587,0.9999789,0.99988973
201489601010049,148960101,50,55746.7,PNS,0.011790658,0.99997985,0.99999976,0.99999833
201485605010020,148560501,21,63339.53,PNU,0.012821699,0.9997303,0.99994206,0.9997694
201125506010049,761630201,49,94860.1,PNX,0.012711789,0.9998518,0.99999666,0.9996339
201068601010005,693850501,9,110339.2,PNX,0.016723163,0.99993265,0.99999917,0.9999753
206935202010014,693520201,13,104387.4,PNS,0.015639178,0.99992704,0.999943,0.99998844
201489601010040,148960101,40,55777.87,PNX,0.014678266,0.99995553,0.9999957,0.9999726
201080604010009,604960301,5,99410.99,PNS,0.015019317,0.9999423,0.9999858,0.9999995
208019505010031,801950401,23,101217.5,PNX,0.011163496,0.9999956,0.99996614,0.99999154
208229601010018,822960101,18,76427.9,PNS,0.012194806,0.99972326,0.9999927,0.9995801
201481701010034,148170101,38,67711.02,PNX,0.011782658,0.99999857,0.99998915,0.99999595
201485605010081,148560501,79,55431.23,PNU,0.011335295,0.9999449,0.99999356,0.9998679
207640101010066,764010101,69,70871.59,PNS,0.0125365695,0.9999999,0.99998605,0.999907
200709404010036,782650101,21,92118.57,PNX,0.010150407,1.0,0.99995637,0.99977046
201010401010014,741280201,10,86239.4,PNS,0.017303536,0.9999753,0.999925,0.9996499
206578201010017,831790701,16,102428.7,PNS,0.0103682745,0.99983954,0.99999416,0.9992601
208039104010120,803910401,120,85115.39,PNX,0.009483106,0.9999815,0.9999305,0.9998691
208039104010128,803910401,128,85110.17,PNS,0.009462358,0.9999893,0.9999989,0.99944276
208039104010027,803910401,27,85089.37,PNX,0.0125333825,0.9999747,0.9999865,0.9998795
208244505010118,824450501,118,77991.16,PNS,0.008778685,0.9999838,0.99999654,0.9998299
206569901010046,790380601,54,116691.4,PNS,0.012010612,0.99993765,0.9999044,0.9993668
206556701010027,784860101,39,89145.22,PNS,0.009889812,0.99995446,0.9999989,0.9997582
207434602010007,801100101,10,75511.78,PNX,0.009967422,0.9999629,0.99999905,0.99982506
203040501010004,304050101,4,50076.75,PNX,0.020857027,1.0,1.0,0.999782
201489601010027,148960101,29,55777.87,PNS,0.01667013,0.9999608,0.99995065,0.9998735
205021201010013,502120101,11,90193.98,PNX,0.020032322,0.99960726,0.99999917,0.9990287
201109903010015,844860701,31,92531.4,PNS,0.0096883,0.9999323,0.99996555,0.99981016
205503501010006,841800201,8,113703.2,PNS,0.02056948,0.9998184,0.99994814,0.99987876
