Combo,Opt Acc.,Conf Range,80% Acc,80% Pur,80% Comp,90% Acc,90% Pur,90% Comp,95% Acc,95% Pur,95% Comp,99% Acc,99% Pur,99% Comp,99.9% Acc,99.9% Pur,99.9% Comp
"(0, 1, 2, 3, 4, 5, 6, 8, 9, 11)",0.8787878787878788,"[1.0, 1.0]",0.36363636363636365,0.2222222222222222,1.0,0.36363636363636365,0.2222222222222222,1.0,0.3939393939393939,0.23076923076923078,1.0,0.45454545454545453,0.25,1.0,0.6060606060606061,0.3157894736842105,1.0
"(0, 1, 2, 4, 5, 6, 7, 8, 10, 12)",0.42424242424242425,"[1.0, 1.0]",0.25757575757575757,0.19672131147540983,1.0,0.2727272727272727,0.2,1.0,0.2727272727272727,0.2,1.0,0.30303030303030304,0.20689655172413793,1.0,0.3333333333333333,0.21428571428571427,1.0
"(0, 1, 2, 4, 5, 6, 7, 8, 11, 12)",0.8787878787878788,"[1.0, 1.0]",0.6212121212121212,0.32432432432432434,1.0,0.6212121212121212,0.32432432432432434,1.0,0.6515151515151515,0.34285714285714286,1.0,0.6818181818181818,0.36363636363636365,1.0,0.7424242424242424,0.41379310344827586,1.0
"(0, 1, 2, 4, 5, 6, 8, 9, 10, 11)",0.8181818181818182,"[0.5001, 1.0]",0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0
"(0, 1, 2, 4, 5, 6, 8, 9, 10, 12)",0.36363636363636365,"[1.0, 1.0]",0.25757575757575757,0.19672131147540983,1.0,0.2727272727272727,0.2,1.0,0.2727272727272727,0.2,1.0,0.2878787878787879,0.2033898305084746,1.0,0.3181818181818182,0.21052631578947367,1.0
"(0, 1, 2, 4, 5, 6, 8, 9, 11, 12)",0.7272727272727273,"[1.0, 1.0]",0.36363636363636365,0.2222222222222222,1.0,0.3787878787878788,0.22641509433962265,1.0,0.3939393939393939,0.23076923076923078,1.0,0.45454545454545453,0.25,1.0,0.48484848484848486,0.2608695652173913,1.0
"(0, 1, 2, 4, 5, 6, 8, 10, 11, 12)",0.9242424242424242,"[1.0, 1.0]",0.4696969696969697,0.2553191489361702,1.0,0.5151515151515151,0.2727272727272727,1.0,0.5454545454545454,0.2857142857142857,1.0,0.6515151515151515,0.34285714285714286,1.0,0.7727272727272727,0.4444444444444444,1.0
"(0, 1, 2, 4, 5, 7, 8, 9, 10, 11)",0.8181818181818182,"[0.5001, 1.0]",0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0
"(0, 1, 2, 4, 5, 7, 8, 9, 10, 12)",0.9545454545454546,"[1.0, 1.0]",0.2727272727272727,0.2,1.0,0.3181818181818182,0.21052631578947367,1.0,0.3787878787878788,0.22641509433962265,1.0,0.48484848484848486,0.2608695652173913,1.0,0.6666666666666666,0.34375,0.9166666666666666
"(0, 1, 2, 4, 5, 7, 8, 9, 11, 12)",0.9242424242424242,"[1.0, 1.0]",0.3484848484848485,0.21818181818181817,1.0,0.3787878787878788,0.22641509433962265,1.0,0.3787878787878788,0.22641509433962265,1.0,0.48484848484848486,0.2608695652173913,1.0,0.6666666666666666,0.35294117647058826,1.0
"(0, 1, 2, 4, 5, 7, 8, 10, 11, 12)",0.9393939393939394,"[0.9999, 1.0]",0.5606060606060606,0.2926829268292683,1.0,0.6363636363636364,0.3333333333333333,1.0,0.6818181818181818,0.36363636363636365,1.0,0.7727272727272727,0.4444444444444444,1.0,0.8636363636363636,0.5789473684210527,0.9166666666666666
