Features Used,Validation Accuracy,Sim Test Accuracy,Real Test Accuracy,Real Test Completeness,Real Test Purity,F1 Score,Metric Value
"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)",0.9999444484710693,0.9997000098228455,0.8484848737716675,0.9166666666666666,0.55,0.6874999999999999,0.6874999999999999
"(0, 1, 2, 4, 5, 6, 7, 9, 10, 11, 12, 13)",0.9986666440963745,0.9987000226974487,0.8484848737716675,0.9166666666666666,0.55,0.6874999999999999,0.6874999999999999
"(0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13)",1.0,1.0,0.8939393758773804,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.7586206896551724
"(0, 1, 2, 4, 5, 7, 8, 9, 10, 11, 12, 13)",1.0,1.0,0.9242424368858337,0.9166666666666666,0.7333333333333333,0.8148148148148148,0.8148148148148148
"(0, 1, 2, 4, 6, 7, 8, 9, 10, 11, 12, 13)",0.9918333292007446,0.9922999739646912,0.7121211886405945,0.9166666666666666,0.3793103448275862,0.5365853658536586,0.5365853658536586
"(0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12, 13)",0.9989444613456726,0.9991999864578247,0.3636363744735718,0.9166666666666666,0.21153846153846154,0.34374999999999994,0.34374999999999994
"(0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)",1.0,1.0,0.9090909361839294,0.9166666666666666,0.6875,0.7857142857142857,0.7857142857142857
"(0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13)",1.0,0.9998000264167786,0.9090909361839294,0.9166666666666666,0.6875,0.7857142857142857,0.7857142857142857
"(0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13)",0.992388904094696,0.9937000274658203,0.8484848737716675,0.9166666666666666,0.55,0.6874999999999999,0.6874999999999999
"(0, 1, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13)",1.0,1.0,0.9696969985961914,0.8333333333333334,1.0,0.9090909090909091,0.9090909090909091
"(0, 1, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13)",0.999833345413208,0.9998999834060669,0.9242424368858337,0.75,0.8181818181818182,0.7826086956521738,0.7826086956521738
"(0, 1, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13)",0.999666690826416,1.0,0.939393937587738,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.8461538461538461
"(0, 1, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13)",0.9999444484710693,0.9998999834060669,0.8636363744735718,0.9166666666666666,0.5789473684210527,0.7096774193548387,0.7096774193548387
"(0, 1, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13)",1.0,0.9998000264167786,0.8333333134651184,0.9166666666666666,0.5238095238095238,0.6666666666666667,0.6666666666666667
"(0, 1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13)",0.9997222423553467,0.9998999834060669,0.9696969985961914,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666
"(0, 1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13)",0.9903888702392578,0.9886999726295471,0.8484848737716675,0.9166666666666666,0.55,0.6874999999999999,0.6874999999999999
"(0, 1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",1.0,1.0,0.8939393758773804,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.7586206896551724
"(0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)",0.9998888969421387,0.9998999834060669,0.8484848737716675,0.9166666666666666,0.55,0.6874999999999999,0.6874999999999999
"(0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13)",0.9994444251060486,0.9993000030517578,0.9696969985961914,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666
"(0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13)",0.999833345413208,0.9998000264167786,0.8787878751754761,0.9166666666666666,0.6111111111111112,0.7333333333333334,0.7333333333333334
"(0, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13)",1.0,1.0,0.9242424368858337,0.5833333333333334,1.0,0.7368421052631579,0.7368421052631579
"(0, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13)",0.7408333420753479,0.7394000291824341,0.8181818127632141,0.0,0,0,0
"(0, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13)",0.9999444484710693,1.0,0.939393937587738,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
"(0, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13)",0.9998888969421387,0.9998999834060669,0.939393937587738,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
"(0, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13)",0.9998888969421387,0.9998000264167786,0.8181818127632141,0.9166666666666666,0.5,0.6470588235294118,0.6470588235294118
"(0, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13)",1.0,1.0,0.9545454382896423,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.8799999999999999
"(0, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13)",0.9828333258628845,0.983299970626831,0.469696968793869,0.9166666666666666,0.24444444444444444,0.3859649122807018,0.3859649122807018
"(0, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",1.0,0.9998999834060669,0.8484848737716675,0.9166666666666666,0.55,0.6874999999999999,0.6874999999999999
"(0, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",0.999666690826416,0.9998000264167786,0.939393937587738,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.8461538461538461
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)",0.9007777571678162,0.9014000296592712,0.7878788113594055,0.9166666666666666,0.4583333333333333,0.611111111111111,0.611111111111111
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13)",0.8881111145019531,0.8913999795913696,0.43939393758773804,0.9166666666666666,0.23404255319148937,0.3728813559322034,0.3728813559322034
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13)",0.9037777781486511,0.9078999757766724,0.1666666716337204,0.9166666666666666,0.16923076923076924,0.28571428571428575,0.28571428571428575
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13)",0.9184444546699524,0.9185000061988831,0.1818181872367859,0.9166666666666666,0.171875,0.2894736842105263,0.2894736842105263
"(1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13)",0.9014999866485596,0.9067000150680542,0.1818181872367859,1.0,0.18181818181818182,0.3076923076923077,0.3076923076923077
"(1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13)",0.495888888835907,0.5,0.8030303120613098,0.0,0.0,0,0
"(1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13)",0.9117777943611145,0.9107999801635742,0.1666666716337204,0.9166666666666666,0.16923076923076924,0.28571428571428575,0.28571428571428575
"(1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13)",0.9079444408416748,0.9093000292778015,0.1666666716337204,0.9166666666666666,0.16923076923076924,0.28571428571428575,0.28571428571428575
"(1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13)",0.8894444704055786,0.895799994468689,0.3484848439693451,0.9166666666666666,0.20754716981132076,0.3384615384615385,0.3384615384615385
"(1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13)",0.9058889150619507,0.9077000021934509,0.1666666716337204,0.9166666666666666,0.16923076923076924,0.28571428571428575,0.28571428571428575
"(1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",0.9063888788223267,0.9057999849319458,0.1666666716337204,0.9166666666666666,0.16923076923076924,0.28571428571428575,0.28571428571428575
"(1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",0.8575555682182312,0.857200026512146,0.4848484992980957,0.9166666666666666,0.25,0.3928571428571429,0.3928571428571429
"(2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",0.8777777552604675,0.8795999884605408,0.39393940567970276,0.9166666666666666,0.22,0.3548387096774193,0.3548387096774193


