Features Used,Validation Accuracy,Sim Test Accuracy,Real Test Accuracy,Real Test Completeness,Real Test Purity,F1 Score,Metric Value
"(2, 3, 8, 10, 12)",0.9469444155693054,0.9463000297546388,0.2424242496490478,1.0,0.1935483870967742,0.3243243243243243,0.3243243243243243
"(2, 3, 8, 11, 12)",0.9448888897895812,0.9502000212669371,0.9090909361839294,0.9166666666666666,0.6875,0.7857142857142857,0.7857142857142857
"(2, 4, 5, 6, 8)",0.9338889122009277,0.9362999796867371,0.9090909361839294,1.0,0.6666666666666666,0.8,0.8
"(2, 4, 5, 7, 8)",0.941777765750885,0.9426000118255616,0.9090909361839294,1.0,0.6666666666666666,0.8,0.8
"(2, 4, 5, 8, 9)",0.937666654586792,0.9401999711990356,0.939393937587738,1.0,0.75,0.8571428571428571,0.8571428571428571
"(2, 4, 5, 8, 10)",0.9321110844612122,0.9307000041007996,0.8939393758773804,1.0,0.631578947368421,0.7741935483870968,0.7741935483870968
"(2, 4, 5, 8, 11)",0.9500555396080016,0.9502999782562256,0.939393937587738,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
"(2, 4, 5, 8, 12)",0.9423333406448364,0.9472000002861024,0.2272727340459823,0.9166666666666666,0.180327868852459,0.3013698630136986,0.3013698630136986
"(2, 4, 6, 7, 8)",0.9415555596351624,0.9419999718666076,0.9090909361839294,1.0,0.6666666666666666,0.8,0.8
"(2, 4, 6, 8, 9)",0.9423333406448364,0.9442999958992004,0.9242424368858336,0.9166666666666666,0.7333333333333333,0.8148148148148148,0.8148148148148148
"(2, 4, 6, 8, 10)",0.9288889169692992,0.9297000169754028,0.9090909361839294,1.0,0.6666666666666666,0.8,0.8
"(2, 4, 6, 8, 11)",0.9500555396080017,0.9502000212669373,0.939393937587738,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
"(2, 4, 6, 8, 12)",0.9447222352027892,0.947700023651123,0.2272727340459823,0.9166666666666666,0.180327868852459,0.3013698630136986,0.3013698630136986
"(2, 4, 7, 8, 9)",0.9413333535194396,0.9456999897956848,0.9090909361839294,0.9166666666666666,0.6875,0.7857142857142857,0.7857142857142857
"(2, 4, 7, 8, 10)",0.8108888864517212,0.8162000179290771,0.6666666865348816,1.0,0.3529411764705882,0.5217391304347826,0.5217391304347826
"(2, 4, 7, 8, 11)",0.9442777633666992,0.9502000212669373,0.9696969985961914,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666
"(2, 4, 7, 8, 12)",0.9479444622993468,0.949400007724762,0.2727272808551788,0.9166666666666666,0.1896551724137931,0.3142857142857143,0.3142857142857143
"(2, 4, 8, 9, 10)",0.9396111369132996,0.9398000240325928,0.9242424368858336,0.9166666666666666,0.7333333333333333,0.8148148148148148,0.8148148148148148
"(2, 4, 8, 9, 11)",0.9474999904632568,0.9505000114440918,0.9242424368858336,0.8333333333333334,0.7692307692307693,0.8,0.8
"(2, 4, 8, 9, 12)",0.4954444468021393,0.5,0.8181818127632141,0.0,0,0,0
"(2, 4, 8, 10, 11)",0.9490000009536744,0.949999988079071,0.939393937587738,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.8461538461538461
"(2, 4, 8, 10, 12)",0.7502777576446533,0.7513999938964844,0.8333333134651184,0.9166666666666666,0.5238095238095238,0.6666666666666667,0.6666666666666667
"(2, 4, 8, 11, 12)",0.9496111273765564,0.9502000212669373,0.9242424368858337,0.9166666666666666,0.7333333333333333,0.8148148148148148,0.8148148148148148
"(2, 5, 6, 7, 8)",0.9394444227218628,0.9423999786376952,0.9090909361839294,1.0,0.6666666666666666,0.8,0.8
"(2, 5, 6, 8, 9)",0.9389444589614868,0.942799985408783,0.9242424368858336,0.8333333333333334,0.7692307692307693,0.8,0.8
"(2, 5, 6, 8, 10)",0.9222777485847472,0.9207000136375428,0.8787878751754761,1.0,0.6,0.7499999999999999,0.7499999999999999
"(2, 5, 6, 8, 11)",0.9470555782318116,0.9502999782562256,0.9545454382896424,0.8333333333333334,0.9090909090909092,0.8695652173913043,0.8695652173913043
"(2, 5, 6, 8, 12)",0.9453333616256714,0.947700023651123,0.1818181872367859,0.9166666666666666,0.171875,0.2894736842105263,0.2894736842105263
"(2, 5, 7, 8, 9)",0.9411110877990724,0.9415000081062316,0.9090909361839294,0.9166666666666666,0.6875,0.7857142857142857,0.7857142857142857
"(2, 5, 7, 8, 10)",0.4959444403648376,0.5,0.8181818127632141,0.0,0.0,0.0,0.0
"(2, 5, 7, 8, 11)",0.9490000009536744,0.9503999948501588,0.9242424368858336,0.9166666666666666,0.7333333333333333,0.8148148148148148,0.8148148148148148
"(2, 5, 7, 8, 12)",0.9486666917800904,0.9492999911308287,0.2424242496490478,0.9166666666666666,0.1833333333333333,0.3055555555555556,0.3055555555555556
