Features Used,Validation Accuracy,Sim Test Accuracy,Real Test Accuracy,Real Test Completeness,Real Test Purity,F1 Score
"(0, 3, 9)",0.5044999718666077,0.5,0.8115941882133484,0.0,0.0,0.0
"(0, 3, 10)",0.6681110858917236,0.6789000034332275,0.1739130467176437,0.9230769230769232,0.1764705882352941,0.2962962962962963
"(0, 3, 11)",0.9369444251060486,0.9365000128746032,0.3913043439388275,1.0,0.2363636363636363,0.3823529411764705
"(0, 3, 12)",0.9334444403648376,0.9330999851226808,0.2028985470533371,1.0,0.1911764705882352,0.32098765432098747
"(0, 3, 13)",0.5023888945579529,0.5,0.8115941882133484,0.0,0.0,0.0
"(0, 4, 5)",0.9299444556236268,0.9276000261306764,0.4637681245803833,1.0,0.26,0.41269841269841273
"(0, 4, 6)",0.9283888936042786,0.9269999861717224,0.4927536249160766,1.0,0.2708333333333333,0.4262295081967213
"(0, 4, 7)",0.5,0.5,0.8115941882133484,0.0,0.0,0.0
"(0, 4, 8)",0.928333342075348,0.9272000193595886,0.5507246255874634,1.0,0.2954545454545454,0.45614035087719296
"(0, 4, 9)",0.4952222108840942,0.5,0.8115941882133484,0.0,0.0,0.0
"(0, 4, 10)",0.7301111221313477,0.7337999939918518,0.4057970941066742,0.6153846153846154,0.1818181818181818,0.2807017543859649
"(0, 4, 11)",0.4971111118793487,0.5,0.8115941882133484,0.0,0.0,0.0
"(0, 4, 12)",0.9221110939979552,0.9185000061988832,0.3478260934352875,1.0,0.2241379310344827,0.3661971830985915
"(0, 4, 13)",0.5013889074325562,0.5,0.8115941882133484,0.0,0.0,0.0
"(0, 5, 6)",0.905722200870514,0.9003000259399414,0.4202898442745209,0.8461538461538461,0.2244897959183673,0.35483870967741926
"(0, 5, 7)",0.9101666808128356,0.9049000144004822,0.5797101259231567,0.8461538461538461,0.2894736842105263,0.4313725490196079
"(0, 5, 8)",0.922611117362976,0.9214000105857848,0.4057970941066742,1.0,0.2407407407407407,0.38805970149253727
"(0, 5, 9)",0.9261666536331176,0.92739999294281,0.4927536249160766,1.0,0.2708333333333333,0.4262295081967213
"(0, 5, 10)",0.5004444718360901,0.5,0.8115941882133484,0.0,0.0,0.0
"(0, 5, 11)",0.9121666550636292,0.9097999930381776,0.4347825944423675,0.8461538461538461,0.2291666666666666,0.36065573770491793
"(0, 5, 12)",0.9186111092567444,0.916100025177002,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317072
