,Features Used,Validation Accuracy,Sim Test Accuracy,Real Test Accuracy,Real Test Completeness,Real Test Purity,F1 Score,Metric Value
155,"(0, 1, 2, 4, 7, 8, 9, 10, 11, 12, 13)",0.9323889017105104,0.9301000237464904,0.2173912972211837,1.0,0.1940298507462686,0.325,0.325
156,"(0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12)",0.933555543422699,0.9315000176429749,0.3913043439388275,1.0,0.2363636363636363,0.3823529411764706,0.3823529411764706
157,"(0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 13)",0.929722249507904,0.930299997329712,0.2173912972211837,1.0,0.1940298507462686,0.325,0.325
158,"(0, 1, 2, 5, 6, 7, 8, 9, 10, 12, 13)",0.928333342075348,0.9261000156402588,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317073,0.3170731707317073
159,"(0, 1, 2, 5, 6, 7, 8, 9, 11, 12, 13)",0.937833309173584,0.9369999766349792,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317073,0.0
160,"(0, 1, 2, 5, 6, 7, 8, 10, 11, 12, 13)",0.9187777638435364,0.9168999791145324,0.2173912972211837,0.9230769230769232,0.1846153846153846,0.3076923076923077,0.3076923076923077
161,"(0, 1, 2, 5, 6, 7, 9, 10, 11, 12, 13)",0.9221110939979552,0.9214000105857848,0.260869562625885,0.9230769230769232,0.1935483870967742,0.3199999999999999,0.3199999999999999
162,"(0, 1, 2, 5, 6, 8, 9, 10, 11, 12, 13)",0.9305555820465088,0.930999994277954,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317073,0.3170731707317073
163,"(0, 1, 2, 5, 7, 8, 9, 10, 11, 12, 13)",0.9314444661140442,0.9308000206947328,0.2028985470533371,1.0,0.1911764705882352,0.3209876543209876,0.3209876543209876
164,"(0, 1, 2, 6, 7, 8, 9, 10, 11, 12, 13)",0.9319999814033508,0.9294000267982484,0.2028985470533371,0.9230769230769232,0.1818181818181818,0.3037974683544304,0.3037974683544304
165,"(0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11)",0.9062777757644652,0.9106000065803528,0.6521739363670349,0.9230769230769232,0.3428571428571428,0.5000000000000001,0.5000000000000001
166,"(0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 12)",0.9269444346427916,0.9253000020980836,0.3768115937709808,1.0,0.2321428571428571,0.3768115942028985,0.3768115942028985
167,"(0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 13)",0.9002777934074402,0.906000018119812,0.304347813129425,1.0,0.2131147540983606,0.3513513513513513,0.3513513513513513
168,"(0, 1, 3, 4, 5, 6, 7, 8, 9, 11, 12)",0.9372222423553468,0.9370999932289124,0.2318840622901916,0.9230769230769232,0.1875,0.3116883116883117,0.3116883116883117
169,"(0, 1, 3, 4, 5, 6, 7, 8, 9, 11, 13)",0.9321666955947876,0.9333999752998352,0.2173912972211837,1.0,0.1940298507462686,0.325,0.325
170,"(0, 1, 3, 4, 5, 6, 7, 8, 9, 12, 13)",0.9366111159324646,0.9369999766349792,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317073,0.0
171,"(0, 1, 3, 4, 5, 6, 7, 8, 10, 11, 12)",0.7876666784286499,0.795199990272522,0.304347813129425,0.6153846153846154,0.1568627450980392,0.25,0.25
172,"(0, 1, 3, 4, 5, 6, 7, 8, 10, 11, 13)",0.9244444370269777,0.9208999872207642,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317073,0.3170731707317073
173,"(0, 1, 3, 4, 5, 6, 7, 8, 10, 12, 13)",0.8960555791854858,0.8903999924659729,0.2318840622901916,0.9230769230769232,0.1875,0.3116883116883117,0.3116883116883117
174,"(0, 1, 3, 4, 5, 6, 7, 8, 11, 12, 13)",0.9247221946716307,0.9275000095367432,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317073,0.3170731707317073
175,"(0, 1, 3, 4, 5, 6, 7, 9, 10, 11, 12)",0.9266111254692078,0.9259999990463256,0.4347825944423675,0.9230769230769232,0.24,0.3809523809523809,0.3809523809523809
176,"(0, 1, 3, 4, 5, 6, 7, 9, 10, 11, 13)",0.9293333292007446,0.9297000169754028,0.1884057968854904,0.9230769230769232,0.1791044776119403,0.3,0.3
177,"(0, 1, 3, 4, 5, 6, 7, 9, 10, 12, 13)",0.9249444603919984,0.9244999885559082,0.2028985470533371,1.0,0.1911764705882352,0.3209876543209876,0.3209876543209876
178,"(0, 1, 3, 4, 5, 6, 7, 9, 11, 12, 13)",0.9375555515289308,0.9348999857902528,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317073,0.0
179,"(0, 1, 3, 4, 5, 6, 7, 10, 11, 12, 13)",0.925611138343811,0.9226999878883362,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317073,0.3170731707317073
180,"(0, 1, 3, 4, 5, 6, 8, 9, 10, 11, 12)",0.9285555481910706,0.9294999837875366,0.4057970941066742,0.9230769230769232,0.2307692307692307,0.3692307692307692,0.3692307692307692
181,"(0, 1, 3, 4, 5, 6, 8, 9, 10, 11, 13)",0.9329444169998168,0.9300000071525574,0.2028985470533371,0.9230769230769232,0.1818181818181818,0.3037974683544304,0.3037974683544304
182,"(0, 1, 3, 4, 5, 6, 8, 9, 10, 12, 13)",0.914722204208374,0.9182999730110168,0.260869562625885,1.0,0.203125,0.3376623376623376,0.3376623376623376
183,"(0, 1, 3, 4, 5, 6, 8, 9, 11, 12, 13)",0.9361666440963744,0.9359999895095824,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317073,0.0
184,"(0, 1, 3, 4, 5, 6, 8, 10, 11, 12, 13)",0.9230555295944214,0.9208999872207642,0.1739130467176437,0.9230769230769232,0.1764705882352941,0.2962962962962963,0.2962962962962963
185,"(0, 1, 3, 4, 5, 6, 9, 10, 11, 12, 13)",0.9231666922569276,0.9204999804496764,0.2173912972211837,1.0,0.1940298507462686,0.325,0.325
186,"(0, 1, 3, 4, 5, 7, 8, 9, 10, 11, 12)",0.9340000152587892,0.9298999905586244,0.3913043439388275,0.9230769230769232,0.2264150943396226,0.3636363636363636,0.3636363636363636
187,"(0, 1, 3, 4, 5, 7, 8, 9, 10, 11, 13)",0.9295555353164672,0.9308000206947328,0.2173912972211837,1.0,0.1940298507462686,0.325,0.325
188,"(0, 1, 3, 4, 5, 7, 8, 9, 10, 12, 13)",0.9230555295944214,0.9229999780654908,0.2173912972211837,0.9230769230769232,0.1846153846153846,0.3076923076923077,0.3076923076923077
189,"(0, 1, 3, 4, 5, 7, 8, 9, 11, 12, 13)",0.9390000104904176,0.9383000135421752,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317073,0.0
190,"(0, 1, 3, 4, 5, 7, 8, 10, 11, 12, 13)",0.9278888702392578,0.9253000020980836,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317073,0.3170731707317073
191,"(0, 1, 3, 4, 5, 7, 9, 10, 11, 12, 13)",0.9312777519226074,0.9258999824523926,0.2463768124580383,0.9230769230769232,0.1904761904761904,0.3157894736842105,0.3157894736842105
192,"(0, 1, 3, 4, 5, 8, 9, 10, 11, 12, 13)",0.8905555605888367,0.8881000280380249,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317073,0.3170731707317073
193,"(0, 1, 3, 4, 6, 7, 8, 9, 10, 11, 12)",0.929444432258606,0.930299997329712,0.5507246255874634,0.9230769230769232,0.2857142857142857,0.4363636363636363,0.4363636363636363
194,"(0, 1, 3, 4, 6, 7, 8, 9, 10, 11, 13)",0.9300000071525574,0.929199993610382,0.2463768124580383,0.9230769230769232,0.1904761904761904,0.3157894736842105,0.3157894736842105
195,"(0, 1, 3, 4, 6, 7, 8, 9, 10, 12, 13)",0.9239444732666016,0.9258999824523926,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317073,0.3170731707317073
196,"(0, 1, 3, 4, 6, 7, 8, 9, 11, 12, 13)",0.9334999918937684,0.9326000213623048,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317073,0.3170731707317073
197,"(0, 1, 3, 4, 6, 7, 8, 10, 11, 12, 13)",0.922166645526886,0.92330002784729,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317073,0.3170731707317073
198,"(0, 1, 3, 4, 6, 7, 9, 10, 11, 12, 13)",0.9282777905464172,0.9271000027656556,0.2173912972211837,1.0,0.1940298507462686,0.325,0.325
199,"(0, 1, 3, 4, 6, 8, 9, 10, 11, 12, 13)",0.923888862133026,0.9254999756813048,0.260869562625885,0.9230769230769232,0.1935483870967742,0.3199999999999999,0.3199999999999999
