Features Used,Validation Accuracy,Sim Test Accuracy,Real Test Accuracy,Real Test Completeness,Real Test Purity
"(1, 12)",0.8999999761581421,0.8988999724388123,0.8115941882133484,0.8461538461538461,0.5
"(1, 13)",0.9351111054420471,0.9320999979972839,0.18840579688549042,1.0,0.18840579710144928
"(2, 3)",0.5022777915000916,0.5,0.8115941882133484,0.0,0
"(2, 4)",0.5022222399711609,0.5,0.8115941882133484,0.0,0
"(2, 5)",0.5010555386543274,0.5,0.8115941882133484,0.0,0
"(2, 6)",0.49683332443237305,0.5,0.8115941882133484,0.0,0
"(2, 7)",0.503166675567627,0.5,0.8115941882133484,0.0,0
"(2, 8)",0.4963333308696747,0.5,0.8115941882133484,0.0,0
"(2, 9)",0.9247221946716309,0.925599992275238,0.52173912525177,0.9230769230769231,0.2727272727272727
"(2, 10)",0.5314444303512573,0.5295000076293945,0.4202898442745209,0.15384615384615385,0.06451612903225806
"(2, 11)",0.829277753829956,0.8312000036239624,0.8840579986572266,0.46153846153846156,0.8571428571428571
"(2, 12)",0.49944445490837097,0.5,0.8115941882133484,0.0,0
"(2, 13)",0.4945000112056732,0.5,0.8115941882133484,0.0,0
"(3, 4)",0.9307777881622314,0.9300000071525574,0.24637681245803833,1.0,0.2
"(3, 5)",0.49888888001441956,0.5,0.8115941882133484,0.0,0
"(3, 6)",0.9246110916137695,0.9262999892234802,0.5362318754196167,1.0,0.28888888888888886
"(3, 7)",0.9313333630561829,0.9311000108718872,0.28985506296157837,1.0,0.20967741935483872
"(3, 8)",0.9240555763244629,0.9196000099182129,0.6086956262588501,1.0,0.325
"(3, 9)",0.9351666569709778,0.9311000108718872,0.2753623127937317,1.0,0.20634920634920634
"(3, 10)",0.9205555319786072,0.9214000105857849,0.4202898442745209,0.9230769230769231,0.23529411764705882
"(3, 11)",0.9356666803359985,0.9341999888420105,0.2753623127937317,1.0,0.20634920634920634
"(3, 12)",0.4955555498600006,0.5,0.8115941882133484,0.0,0
"(3, 13)",0.9391666650772095,0.9366999864578247,0.18840579688549042,1.0,0.18840579710144928
"(4, 5)",0.49816668033599854,0.5,0.8115941882133484,0.0,0
"(4, 6)",0.5032777786254883,0.5,0.8115941882133484,0.0,0
"(4, 7)",0.5007222294807434,0.5,0.8115941882133484,0.0,0
"(4, 8)",0.9219444394111633,0.921500027179718,0.49275362491607666,1.0,0.2708333333333333
"(4, 9)",0.5051666498184204,0.5,0.8115941882133484,0.0,0
"(4, 10)",0.49950000643730164,0.5,0.8115941882133484,0.0,0
"(4, 11)",0.9352777600288391,0.9323999881744385,0.5652173757553101,0.9230769230769231,0.2926829268292683
"(4, 12)",0.9010000228881836,0.902999997138977,0.18840579688549042,1.0,0.18840579710144928
"(4, 13)",0.917722225189209,0.914900004863739,0.18840579688549042,1.0,0.18840579710144928
"(5, 6)",0.5009444355964661,0.5,0.8115941882133484,0.0,0
"(5, 7)",0.4982222318649292,0.5,0.8115941882133484,0.0,0
"(5, 8)",0.4966111183166504,0.5,0.8115941882133484,0.0,0
"(5, 9)",0.495888888835907,0.5,0.8115941882133484,0.0,0
"(5, 10)",0.496444433927536,0.5,0.8115941882133484,0.0,0
"(5, 11)",0.5080000162124634,0.5,0.8115941882133484,0.0,0
"(5, 12)",0.496444433927536,0.5,0.8115941882133484,0.0,0
"(5, 13)",0.7603333592414856,0.7635999917984009,0.18840579688549042,1.0,0.18840579710144928
"(6, 7)",0.5015000104904175,0.5,0.8115941882133484,0.0,0
"(6, 8)",0.49638888239860535,0.5,0.8115941882133484,0.0,0
"(6, 9)",0.49711111187934875,0.5,0.8115941882133484,0.0,0
"(6, 10)",0.7177777886390686,0.7222999930381775,0.14492753148078918,0.6923076923076923,0.140625
"(6, 11)",0.9047222137451172,0.9067999720573425,0.8695651888847351,0.46153846153846156,0.75
"(6, 12)",0.5027222037315369,0.5,0.8115941882133484,0.0,0
"(6, 13)",0.8759999871253967,0.8722000122070312,0.18840579688549042,1.0,0.18840579710144928
"(7, 8)",0.4987777769565582,0.5,0.8115941882133484,0.0,0
"(7, 9)",0.5006666779518127,0.5,0.8115941882133484,0.0,0
"(7, 10)",0.8661110997200012,0.8611999750137329,0.782608687877655,0.8461538461538461,0.4583333333333333
"(7, 11)",0.9003333449363708,0.8956000208854675,0.8550724387168884,0.8461538461538461,0.5789473684210527
"(7, 12)",0.49711111187934875,0.5,0.8115941882133484,0.0,0
"(7, 13)",0.5012221932411194,0.5,0.8115941882133484,0.0,0
"(8, 9)",0.495888888835907,0.5,0.8115941882133484,0.0,0
"(8, 10)",0.9112777709960938,0.9056000113487244,0.6521739363670349,0.9230769230769231,0.34285714285714286
"(8, 11)",0.5000555515289307,0.5,0.8115941882133484,0.0,0
"(8, 12)",0.9225555658340454,0.9175999760627747,0.3478260934352875,1.0,0.22413793103448276
"(8, 13)",0.49944445490837097,0.5,0.8115941882133484,0.0,0
"(9, 10)",0.9226111173629761,0.9225999712944031,0.5362318754196167,0.9230769230769231,0.27906976744186046
"(9, 11)",0.5019444227218628,0.5,0.8115941882133484,0.0,0
"(9, 12)",0.503166675567627,0.5,0.8115941882133484,0.0,0
"(9, 13)",0.49994444847106934,0.5,0.8115941882133484,0.0,0
"(10, 11)",0.8295000195503235,0.8335000276565552,0.52173912525177,0.7692307692307693,0.25
"(10, 12)",0.7131666541099548,0.7139999866485596,0.17391304671764374,0.6923076923076923,0.14516129032258066
"(10, 13)",0.5009999871253967,0.5,0.8115941882133484,0.0,0
"(11, 12)",0.8242777585983276,0.8248000144958496,0.7971014380455017,0.46153846153846156,0.46153846153846156
"(11, 13)",0.875,0.867900013923645,0.18840579688549042,1.0,0.18840579710144928
"(12, 13)",0.49622222781181335,0.5,0.8115941882133484,0.0,0
